po_id,supplier_id,supplier_name,supplier_tier,category,po_date,promised_date,receipt_date,ordered_qty,received_qty,defect_qty,contract_unit_price,invoice_unit_price,contract_compliant,invoice_id
PO-0001,SUP-006,Pioneer Logistics,Approved,Electronics,2025-07-09,2025-07-20,2025-07-19,100,80,0,220.92,238.26,True,INV-0001
PO-0002,SUP-001,Northstar Components,Strategic,Electronics,2025-02-25,2025-03-07,2025-03-05,100,90,0,225.54,239.97,True,INV-0002
PO-0003,SUP-005,Cobalt Supply Co.,Approved,Packaging,2025-07-14,2025-08-02,2025-08-03,100,100,0,52.56,52.27,False,INV-0003
PO-0004,SUP-004,Vertex Packaging,Preferred,Electronics,2025-08-05,2025-08-17,2025-08-15,200,160,0,238.05,233.28,True,INV-0004
PO-0005,SUP-003,Atlas Materials,Preferred,Packaging,2025-02-19,2025-03-09,2025-03-08,300,300,0,60.34,66.18,True,INV-0005
PO-0006,SUP-004,Vertex Packaging,Preferred,Packaging,2025-04-05,2025-04-17,2025-04-17,150,120,0,59.8,63.61,True,INV-0006
PO-0007,SUP-006,Pioneer Logistics,Approved,Mechanical,2025-04-29,2025-05-12,2025-05-11,150,120,0,159.2,172.4,True,INV-0007
PO-0008,SUP-003,Atlas Materials,Preferred,MRO,2025-01-17,2025-01-27,2025-02-06,200,160,0,81.85,87.16,True,INV-0008
PO-0009,SUP-004,Vertex Packaging,Preferred,Mechanical,2025-02-05,2025-02-15,2025-02-15,200,160,0,167.79,185.18,True,INV-0009
PO-0010,SUP-002,Meridian Industrial,Strategic,MRO,2025-07-13,2025-07-20,2025-07-19,100,80,0,79.22,84.68,True,INV-0010
PO-0011,SUP-005,Cobalt Supply Co.,Approved,MRO,2025-03-06,2025-03-21,2025-03-22,300,240,0,88.75,94.88,True,INV-0011
PO-0012,SUP-006,Pioneer Logistics,Approved,Packaging,2025-03-17,2025-03-30,2025-03-28,100,80,0,59.13,59.26,True,INV-0012
PO-0013,SUP-001,Northstar Components,Strategic,Packaging,2025-05-10,2025-05-26,2025-05-26,500,500,0,55.43,60.12,False,INV-0013
PO-0014,SUP-003,Atlas Materials,Preferred,MRO,2025-01-29,2025-02-10,2025-02-15,100,100,0,77.48,85.27,True,INV-0014
PO-0015,SUP-004,Vertex Packaging,Preferred,Electronics,2025-07-16,2025-07-25,2025-07-26,300,270,0,223.93,233.88,True,INV-0015
PO-0016,SUP-005,Cobalt Supply Co.,Approved,Mechanical,2025-03-21,2025-04-03,2025-04-09,500,475,0,178.19,183.93,False,INV-0016
PO-0017,SUP-001,Northstar Components,Strategic,Mechanical,2025-02-26,2025-03-05,2025-03-03,300,300,0,150.72,145.45,True,INV-0017
PO-0018,SUP-003,Atlas Materials,Preferred,MRO,2025-05-19,2025-05-28,2025-05-29,150,150,0,89.84,97.85,True,INV-0018
PO-0019,SUP-004,Vertex Packaging,Preferred,Packaging,2025-04-16,2025-04-30,2025-04-28,250,200,0,56.69,60.28,True,INV-0019
PO-0020,SUP-001,Northstar Components,Strategic,Mechanical,2025-02-18,2025-03-05,2025-03-06,150,150,0,157.69,157.69,True,INV-0020
PO-0021,SUP-005,Cobalt Supply Co.,Approved,Electronics,2025-06-16,2025-07-01,2025-07-03,100,100,0,223.98,232.42,True,INV-0021
PO-0022,SUP-001,Northstar Components,Strategic,Mechanical,2025-01-01,2025-01-14,2025-01-15,250,250,0,162.46,180.85,True,INV-0022
PO-0023,SUP-006,Pioneer Logistics,Approved,MRO,2025-02-18,2025-03-01,2025-02-27,150,135,0,89.01,86.32,False,INV-0023
PO-0024,SUP-004,Vertex Packaging,Preferred,Mechanical,2025-05-11,2025-05-19,2025-05-17,100,90,0,150.74,165.5,True,INV-0024
PO-0025,SUP-005,Cobalt Supply Co.,Approved,Mechanical,2025-06-02,2025-06-09,2025-06-10,300,240,0,167.76,175.08,True,INV-0025
PO-0026,SUP-006,Pioneer Logistics,Approved,Packaging,2025-03-09,2025-03-22,2025-03-22,150,142,0,52.98,57.23,True,INV-0026
PO-0027,SUP-005,Cobalt Supply Co.,Approved,Electronics,2025-05-18,2025-05-28,2025-05-27,100,100,0,258.28,284.28,True,INV-0027
PO-0028,SUP-005,Cobalt Supply Co.,Approved,Packaging,2025-07-26,2025-08-12,2025-08-12,300,240,0,50.64,55.73,True,INV-0028
PO-0029,SUP-006,Pioneer Logistics,Approved,Mechanical,2025-03-14,2025-03-30,2025-03-30,200,200,0,171.19,187.7,True,INV-0029
PO-0030,SUP-001,Northstar Components,Strategic,Electronics,2025-04-19,2025-04-30,2025-04-30,500,500,0,246.58,247.05,True,INV-0030
PO-0031,SUP-004,Vertex Packaging,Preferred,Electronics,2025-01-20,2025-02-07,2025-02-05,100,100,0,243.96,239.98,True,INV-0031
PO-0032,SUP-001,Northstar Components,Strategic,Packaging,2025-06-24,2025-07-04,2025-07-04,150,135,0,59.23,60.71,True,INV-0032
PO-0033,SUP-002,Meridian Industrial,Strategic,Mechanical,2025-08-14,2025-08-27,2025-08-27,150,142,0,174.97,192.16,True,INV-0033
PO-0034,SUP-006,Pioneer Logistics,Approved,Electronics,2025-08-12,2025-08-19,2025-08-23,250,250,0,255.2,263.79,True,INV-0034
PO-0035,SUP-002,Meridian Industrial,Strategic,Mechanical,2025-06-18,2025-06-28,2025-06-28,100,100,0,180.41,181.25,True,INV-0035
PO-0036,SUP-005,Cobalt Supply Co.,Approved,Packaging,2025-01-30,2025-02-10,2025-02-10,100,100,0,50.69,52.19,True,INV-0036
PO-0037,SUP-005,Cobalt Supply Co.,Approved,Electronics,2025-08-19,2025-09-04,2025-09-02,250,200,0,236.93,247.16,True,INV-0037
PO-0038,SUP-006,Pioneer Logistics,Approved,Mechanical,2025-04-21,2025-04-29,2025-05-05,200,180,0,158.86,174.06,True,INV-0038
PO-0039,SUP-003,Atlas Materials,Preferred,MRO,2025-04-14,2025-05-02,2025-05-01,200,200,0,83.65,92.89,True,INV-0039
PO-0040,SUP-005,Cobalt Supply Co.,Approved,Packaging,2025-05-21,2025-05-28,2025-05-27,250,238,0,58.14,61.46,True,INV-0040
PO-0041,SUP-006,Pioneer Logistics,Approved,Mechanical,2025-05-02,2025-05-21,2025-05-24,300,240,0,151.3,157.73,True,INV-0041
PO-0042,SUP-002,Meridian Industrial,Strategic,Packaging,2025-07-26,2025-08-05,2025-08-03,150,150,0,60.32,63.81,True,INV-0042
PO-0043,SUP-006,Pioneer Logistics,Approved,Mechanical,2025-06-28,2025-07-11,2025-07-10,500,500,0,170.15,163.49,True,INV-0043
PO-0044,SUP-001,Northstar Components,Strategic,MRO,2025-02-15,2025-03-06,2025-03-07,150,150,0,85.98,95.16,True,INV-0044
PO-0045,SUP-004,Vertex Packaging,Preferred,Packaging,2025-06-06,2025-06-24,2025-06-25,250,225,0,54.41,53.62,True,INV-0045
PO-0046,SUP-002,Meridian Industrial,Strategic,Packaging,2025-05-05,2025-05-22,2025-05-23,300,300,0,57.35,57.21,True,INV-0046
PO-0047,SUP-001,Northstar Components,Strategic,Mechanical,2025-03-01,2025-03-14,2025-03-13,150,150,0,162.19,164.29,True,INV-0047
PO-0048,SUP-004,Vertex Packaging,Preferred,MRO,2025-06-28,2025-07-05,2025-07-06,300,285,0,76.6,77.85,True,INV-0048
PO-0049,SUP-004,Vertex Packaging,Preferred,Mechanical,2025-02-26,2025-03-09,2025-03-07,250,238,0,159.59,170.55,True,INV-0049
PO-0050,SUP-004,Vertex Packaging,Preferred,Mechanical,2025-05-17,2025-05-24,2025-05-22,300,300,0,169.71,166.61,False,INV-0050
PO-0051,SUP-004,Vertex Packaging,Preferred,Packaging,2025-04-27,2025-05-09,2025-05-10,150,150,0,57.77,63.15,True,INV-0051
PO-0052,SUP-001,Northstar Components,Strategic,Electronics,2025-02-27,2025-03-16,2025-03-14,200,200,0,261.58,259.46,True,INV-0052
PO-0053,SUP-002,Meridian Industrial,Strategic,MRO,2025-01-30,2025-02-15,2025-02-23,500,400,0,80.86,82.4,True,INV-0053
PO-0054,SUP-006,Pioneer Logistics,Approved,Electronics,2025-03-21,2025-03-29,2025-03-29,150,135,0,248.51,276.67,True,INV-0054
PO-0055,SUP-001,Northstar Components,Strategic,Mechanical,2025-06-28,2025-07-17,2025-07-15,100,90,0,174.33,177.04,True,INV-0055
PO-0056,SUP-005,Cobalt Supply Co.,Approved,Packaging,2025-08-06,2025-08-19,2025-08-21,100,95,0,60.07,63.78,True,INV-0056
PO-0057,SUP-004,Vertex Packaging,Preferred,Mechanical,2025-05-14,2025-05-31,2025-06-01,500,475,0,162.87,175.41,True,INV-0057
PO-0058,SUP-001,Northstar Components,Strategic,Packaging,2025-03-04,2025-03-23,2025-03-24,250,250,0,49.82,54.61,True,INV-0058
PO-0059,SUP-003,Atlas Materials,Preferred,Packaging,2025-08-14,2025-08-30,2025-08-30,200,180,0,49.61,55.15,True,INV-0059
PO-0060,SUP-004,Vertex Packaging,Preferred,Mechanical,2025-05-02,2025-05-19,2025-05-20,500,500,0,151.57,150.88,True,INV-0060
PO-0061,SUP-005,Cobalt Supply Co.,Approved,Packaging,2025-05-22,2025-06-06,2025-06-06,250,250,0,57.23,57.42,False,INV-0061
PO-0062,SUP-002,Meridian Industrial,Strategic,Packaging,2025-07-10,2025-07-25,2025-07-28,100,100,0,51.88,53.82,True,INV-0062
PO-0063,SUP-005,Cobalt Supply Co.,Approved,Packaging,2025-08-02,2025-08-12,2025-08-12,100,100,0,52.82,56.69,False,INV-0063
PO-0064,SUP-001,Northstar Components,Strategic,Packaging,2025-02-02,2025-02-19,2025-02-20,500,500,0,59.1,62.16,True,INV-0064
PO-0065,SUP-002,Meridian Industrial,Strategic,Electronics,2025-08-09,2025-08-23,2025-08-21,200,190,0,239.6,252.14,True,INV-0065
PO-0066,SUP-005,Cobalt Supply Co.,Approved,Packaging,2025-03-05,2025-03-13,2025-03-14,100,90,0,56.06,59.36,True,INV-0066
PO-0067,SUP-004,Vertex Packaging,Preferred,Packaging,2025-04-20,2025-05-01,2025-04-29,300,270,0,60.06,58.61,True,INV-0067
PO-0068,SUP-003,Atlas Materials,Preferred,Electronics,2025-03-03,2025-03-12,2025-03-11,150,150,0,235.61,252.17,False,INV-0068
PO-0069,SUP-003,Atlas Materials,Preferred,Packaging,2025-08-09,2025-08-23,2025-08-22,500,500,0,58.17,61.66,True,INV-0069
PO-0070,SUP-004,Vertex Packaging,Preferred,Electronics,2025-02-27,2025-03-16,2025-03-16,300,300,0,219.43,216.48,True,INV-0070
